05_V_A_Ang,05_V_A_Mag,05_V_B_Ang,05_V_B_Mag,05_V_C_Ang,05_V_C_Mag,05_V_D_Ang,05_V_D_Mag
-0.19296,1.27E+05,-0.19296,1.27E+05,-0.19296,1.27E+05,-0.19296,1.27E+05
-0.19188,1.27E+05,-0.19188,1.27E+05,-0.19188,1.27E+05,-0.19188,1.27E+05
-0.19078,1.27E+05,-0.19078,1.27E+05,-0.19078,1.27E+05,-0.19078,1.27E+05
-0.18955,1.27E+05,-0.18955,1.27E+05,-0.18955,1.27E+05,-0.18955,1.27E+05
-0.18824,1.27E+05,-0.18824,1.27E+05,-0.18824,1.27E+05,-0.18824,1.27E+05
-0.18687,1.27E+05,-0.18687,1.27E+05,-0.18687,1.27E+05,-0.18687,1.27E+05
-2.3452,1.26E+05,-2.3452,1.26E+05,-2.3452,1.26E+05,-2.3452,1.26E+05
-2.3446,1.26E+05,-2.3446,1.26E+05,-2.3446,1.26E+05,-2.3446,1.26E+05
-2.3441,1.26E+05,-2.3441,1.26E+05,-2.3441,1.26E+05,-2.3441,1.26E+05
-2.3437,1.26E+05,-2.3437,1.26E+05,-2.3437,1.26E+05,-2.3437,1.26E+05
-2.3432,1.26E+05,-2.3432,1.26E+05,-2.3432,1.26E+05,-2.3432,1.26E+05
-2.3427,1.26E+05,-2.3427,1.26E+05,-2.3427,1.26E+05,-2.3427,1.26E+05
-2.3421,1.26E+05,-2.3421,1.26E+05,-2.3421,1.26E+05,-2.3421,1.26E+05
-2.3414,1.26E+05,-2.3414,1.26E+05,-2.3414,1.26E+05,-2.3414,1.26E+05
-2.3408,1.26E+05,-2.3408,1.26E+05,-2.3408,1.26E+05,-2.3408,1.26E+05
-2.3402,1.26E+05,-2.3402,1.26E+05,-2.3402,1.26E+05,-2.3402,1.26E+05
-2.3396,1.26E+05,-2.3396,1.26E+05,-2.3396,1.26E+05,-2.3396,1.26E+05
-2.3391,1.26E+05,-2.3391,1.26E+05,-2.3391,1.26E+05,-2.3391,1.26E+05
-2.3386,1.26E+05,-2.3386,1.26E+05,-2.3386,1.26E+05,-2.3386,1.26E+05
-2.3381,1.26E+05,-2.3381,1.26E+05,-2.3381,1.26E+05,-2.3381,1.26E+05
-2.3375,1.26E+05,-2.3375,1.26E+05,-2.3375,1.26E+05,-2.3375,1.26E+05
-2.337,1.26E+05,-2.337,1.26E+05,-2.337,1.26E+05,-2.337,1.26E+05
-2.3365,1.26E+05,-2.3365,1.26E+05,-2.3365,1.26E+05,-2.3365,1.26E+05
-2.336,1.26E+05,-2.336,1.26E+05,-2.336,1.26E+05,-2.336,1.26E+05
-2.3355,1.26E+05,-2.3355,1.26E+05,-2.3355,1.26E+05,-2.3355,1.26E+05
-2.335,1.26E+05,-2.335,1.26E+05,-2.335,1.26E+05,-2.335,1.26E+05
-2.3345,1.26E+05,-2.3345,1.26E+05,-2.3345,1.26E+05,-2.3345,1.26E+05
-2.3339,1.26E+05,-2.3339,1.26E+05,-2.3339,1.26E+05,-2.3339,1.26E+05
-2.3333,1.26E+05,-2.3333,1.26E+05,-2.3333,1.26E+05,-2.3333,1.26E+05
-2.3327,1.26E+05,-2.3327,1.26E+05,-2.3327,1.26E+05,-2.3327,1.26E+05
